Date : 2024-03-04 20:09:39
Directory : c:\Users\Lenovo\Desktop\aps\src
Total : 75 files,  6986 codes, 65 comments, 278 blanks, all 7329 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         42 |      4,089 |         16 |        138 |      4,243 |
| JavaScript JSX |         19 |      1,526 |          6 |         55 |      1,587 |
| CSS            |         12 |      1,312 |         43 |         84 |      1,439 |
| JSON           |          1 |         58 |          0 |          1 |         59 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         75 |      6,986 |         65 |        278 |      7,329 |
| . (Files)                                                                                                             |          4 |        128 |          0 |          8 |        136 |
| components                                                                                                            |         65 |      6,612 |         62 |        262 |      6,936 |
| components\MainPage                                                                                                   |          3 |        293 |          0 |         24 |        317 |
| components\Notifications                                                                                              |          1 |          1 |          0 |          0 |          1 |
| components\Profiles                                                                                                   |         55 |      6,065 |         62 |        217 |      6,344 |
| components\Profiles\CollegeProfile                                                                                    |         23 |      2,415 |         48 |        113 |      2,576 |
| components\Profiles\CollegeProfile\AddStudent                                                                         |         11 |        952 |         16 |         42 |      1,010 |
| components\Profiles\CollegeProfile\StudentsTable                                                                      |         12 |      1,463 |         32 |         71 |      1,566 |
| components\Profiles\DepartmentProfile                                                                                 |         22 |      2,533 |         11 |         72 |      2,616 |
| components\Profiles\DepartmentProfile (Files)                                                                         |          1 |          5 |          0 |          0 |          5 |
| components\Profiles\DepartmentProfile\Exam                                                                            |          7 |      1,529 |          7 |         51 |      1,587 |
| components\Profiles\DepartmentProfile\Proffessor                                                                      |          2 |         -4 |          5 |         -2 |         -1 |
| components\Profiles\DepartmentProfile\Programs                                                                        |          9 |        117 |         -9 |         -3 |        105 |
| components\Profiles\DepartmentProfile\Programs (Files)                                                                |          7 |        116 |         -9 |         -4 |        103 |
| components\Profiles\DepartmentProfile\Programs\add_program_module                                                     |          2 |          1 |          0 |          1 |          2 |
| components\Profiles\DepartmentProfile\schedule                                                                        |          3 |        886 |          8 |         26 |        920 |
| components\Profiles\StudentProfile                                                                                    |          9 |      1,105 |          3 |         31 |      1,139 |
| components\Profiles\StudentProfile\Home                                                                               |          6 |        517 |          1 |         19 |        537 |
| components\Profiles\StudentProfile\Modules                                                                            |          3 |        588 |          2 |         12 |        602 |
| components\Profiles\UniversityProfile                                                                                 |          1 |         12 |          0 |          1 |         13 |
| components\UI                                                                                                         |          2 |         81 |          0 |          3 |         84 |
| components\UI\Confirm                                                                                                 |          1 |         46 |          0 |          2 |         48 |
| components\UI\Form                                                                                                    |          1 |         35 |          0 |          1 |         36 |
| components\login                                                                                                      |          1 |         11 |          0 |          3 |         14 |
| components\navbar                                                                                                     |          2 |        123 |          0 |         10 |        133 |
| components\universityAccounts                                                                                         |          1 |         38 |          0 |          5 |         43 |
| hooks                                                                                                                 |          1 |         -3 |          0 |         -2 |         -5 |
| store                                                                                                                 |          5 |        249 |          3 |         10 |        262 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                              | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Lenovo\Desktop\aps\src\App.js                                                                                | JavaScript     |         60 |          0 |          8 |         68 |
